#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_79244_diag.x_20260313113946_amedhi@isha-2.local
# Lattice: HONEYCOMB2 (Size = 50x50x1, Sites/unitcell = 2, Boundary = 1-1-0)
# No of sites = 5000
# Model: MKM
# lambda = 0.060000
# eta = 0.100000
# lambda_R = 0.000000
# t = 1.000000
# Results: BandStruct
#------------------------------------------------------------------------
# bands: {spin=UP, n=[0:3], cols=[5:8]}
#------------------------------------------------------------------------
# k     kx            ky            kz            ek_0_0        ek_1_0        ek_2_0        ek_3_0        
#------------------------------------------------------------------------
    44  1.378488E+00  1.298525E+00  0.000000E+00 -9.890430E-01 -9.890430E-01  9.890430E-01  9.890430E-01
    45  1.451039E+00  1.256637E+00  0.000000E+00 -9.927353E-01 -9.927353E-01  9.927353E-01  9.927353E-01
    46  1.523591E+00  1.214749E+00  0.000000E+00 -9.955418E-01 -9.955418E-01  9.955418E-01  9.955418E-01
    47  1.596143E+00  1.172861E+00  0.000000E+00 -9.975798E-01 -9.975798E-01  9.975798E-01  9.975798E-01
    48  1.668695E+00  1.130973E+00  0.000000E+00 -9.989531E-01 -9.989531E-01  9.989531E-01  9.989531E-01
    49  1.741247E+00  1.089085E+00  0.000000E+00 -9.997427E-01 -9.997427E-01  9.997427E-01  9.997427E-01
    50 -1.813799E+00 -9.634217E-01  0.000000E+00 -1.000452E+00 -1.000452E+00  1.000452E+00  1.000452E+00
    51 -1.741247E+00 -1.005310E+00  0.000000E+00 -1.000867E+00 -1.000867E+00  1.000867E+00  1.000867E+00
    52 -1.668695E+00 -1.047198E+00  0.000000E+00 -1.000759E+00 -1.000759E+00  1.000759E+00  1.000759E+00
    53 -1.596143E+00 -1.089085E+00  0.000000E+00 -1.000088E+00 -1.000088E+00  1.000088E+00  1.000088E+00
    54 -1.523591E+00 -1.130973E+00  0.000000E+00 -9.987821E-01 -9.987821E-01  9.987821E-01  9.987821E-01
    55 -1.451039E+00 -1.172861E+00  0.000000E+00 -9.967427E-01 -9.967427E-01  9.967427E-01  9.967427E-01
    56 -1.378488E+00 -1.214749E+00  0.000000E+00 -9.938540E-01 -9.938540E-01  9.938540E-01  9.938540E-01
    57 -1.305936E+00 -1.256637E+00  0.000000E+00 -9.899919E-01 -9.899919E-01  9.899919E-01  9.899919E-01
    58 -1.233384E+00 -1.298525E+00  0.000000E+00 -9.850348E-01 -9.850348E-01  9.850348E-01  9.850348E-01
    59 -1.160832E+00 -1.340413E+00  0.000000E+00 -9.788752E-01 -9.788752E-01  9.788752E-01  9.788752E-01
    60 -1.088280E+00 -1.382301E+00  0.000000E+00 -9.714308E-01 -9.714308E-01  9.714308E-01  9.714308E-01
    61 -1.015728E+00 -1.424189E+00  0.000000E+00 -9.626552E-01 -9.626552E-01  9.626552E-01  9.626552E-01
    62 -9.431757E-01 -1.466077E+00  0.000000E+00 -9.525478E-01 -9.525478E-01  9.525478E-01  9.525478E-01
    63 -8.706237E-01 -1.507964E+00  0.000000E+00 -9.411616E-01 -9.411616E-01  9.411616E-01  9.411616E-01
    64 -7.980717E-01 -1.549852E+00  0.000000E+00 -9.286099E-01 -9.286099E-01  9.286099E-01  9.286099E-01
    65 -7.255197E-01 -1.591740E+00  0.000000E+00 -9.150701E-01 -9.150701E-01  9.150701E-01  9.150701E-01
    66 -6.529678E-01 -1.633628E+00  0.000000E+00 -9.007855E-01 -9.007855E-01  9.007855E-01  9.007855E-01
    67 -5.804158E-01 -1.675516E+00  0.000000E+00 -8.860630E-01 -8.860630E-01  8.860630E-01  8.860630E-01
    68 -5.078638E-01 -1.717404E+00  0.000000E+00 -8.712683E-01 -8.712683E-01  8.712683E-01  8.712683E-01
    69 -4.353118E-01 -1.759292E+00  0.000000E+00 -8.568158E-01 -8.568158E-01  8.568158E-01  8.568158E-01
    70 -3.627599E-01 -1.801180E+00  0.000000E+00 -8.431539E-01 -8.431539E-01  8.431539E-01  8.431539E-01
    71 -2.902079E-01 -1.843068E+00  0.000000E+00 -8.307453E-01 -8.307453E-01  8.307453E-01  8.307453E-01
    72 -2.176559E-01 -1.884956E+00  0.000000E+00 -8.200431E-01 -8.200431E-01  8.200431E-01  8.200431E-01
    73 -1.451039E-01 -1.926843E+00  0.000000E+00 -8.114628E-01 -8.114628E-01  8.114628E-01  8.114628E-01
    74 -7.255197E-02 -1.968731E+00  0.000000E+00 -8.053529E-01 -8.053529E-01  8.053529E-01  8.053529E-01
    75  0.000000E+00 -2.010619E+00  0.000000E+00 -8.019689E-01 -8.019689E-01  8.019689E-01  8.019689E-01
    76  7.255197E-02 -2.052507E+00  0.000000E+00 -8.014513E-01 -8.014513E-01  8.014513E-01  8.014513E-01
    77  1.451039E-01 -2.094395E+00  0.000000E+00 -8.038137E-01 -8.038137E-01  8.038137E-01  8.038137E-01
    78  2.176559E-01  2.052507E+00  0.000000E+00 -8.089420E-01 -8.089420E-01  8.089420E-01  8.089420E-01
    79  2.902079E-01  2.010619E+00  0.000000E+00 -8.166045E-01 -8.166045E-01  8.166045E-01  8.166045E-01
    80  3.627599E-01  1.968731E+00  0.000000E+00 -8.264716E-01 -8.264716E-01  8.264716E-01  8.264716E-01
    81  4.353118E-01  1.926843E+00  0.000000E+00 -8.381426E-01 -8.381426E-01  8.381426E-01  8.381426E-01
    82  5.078638E-01  1.884956E+00  0.000000E+00 -8.511744E-01 -8.511744E-01  8.511744E-01  8.511744E-01
    83  5.804158E-01  1.843068E+00  0.000000E+00 -8.651098E-01 -8.651098E-01  8.651098E-01  8.651098E-01
    84  6.529678E-01  1.801180E+00  0.000000E+00 -8.795025E-01 -8.795025E-01  8.795025E-01  8.795025E-01
    85  7.255197E-01  1.759292E+00  0.000000E+00 -8.939378E-01 -8.939378E-01  8.939378E-01  8.939378E-01
    86  7.980717E-01  1.717404E+00  0.000000E+00 -9.080477E-01 -9.080477E-01  9.080477E-01  9.080477E-01
    87  8.706237E-01  1.675516E+00  0.000000E+00 -9.215219E-01 -9.215219E-01  9.215219E-01  9.215219E-01
    88  9.431757E-01  1.633628E+00  0.000000E+00 -9.341131E-01 -9.341131E-01  9.341131E-01  9.341131E-01
    89  1.015728E+00  1.591740E+00  0.000000E+00 -9.456392E-01 -9.456392E-01  9.456392E-01  9.456392E-01
    90  1.088280E+00  1.549852E+00  0.000000E+00 -9.559824E-01 -9.559824E-01  9.559824E-01  9.559824E-01
    91  1.160832E+00  1.507964E+00  0.000000E+00 -9.650845E-01 -9.650845E-01  9.650845E-01  9.650845E-01
    92  1.233384E+00  1.466077E+00  0.000000E+00 -9.729408E-01 -9.729408E-01  9.729408E-01  9.729408E-01
    93  1.305936E+00  1.424189E+00  0.000000E+00 -9.795918E-01 -9.795918E-01  9.795918E-01  9.795918E-01
    94  1.378488E+00  1.382301E+00  0.000000E+00 -9.851135E-01 -9.851135E-01  9.851135E-01  9.851135E-01
    95  1.451039E+00  1.340413E+00  0.000000E+00 -9.896062E-01 -9.896062E-01  9.896062E-01  9.896062E-01
    96  1.523591E+00  1.298525E+00  0.000000E+00 -9.931835E-01 -9.931835E-01  9.931835E-01  9.931835E-01
    97  1.596143E+00  1.256637E+00  0.000000E+00 -9.959607E-01 -9.959607E-01  9.959607E-01  9.959607E-01
    98  1.668695E+00  1.214749E+00  0.000000E+00 -9.980441E-01 -9.980441E-01  9.980441E-01  9.980441E-01
    99 -1.886351E+00 -9.215338E-01  0.000000E+00 -9.995210E-01 -9.995210E-01  9.995210E-01  9.995210E-01
   100 -1.813799E+00 -8.796459E-01  0.000000E+00 -1.001780E+00 -1.001780E+00  1.001780E+00  1.001780E+00
   101 -1.741247E+00 -9.215338E-01  0.000000E+00 -1.002873E+00 -1.002873E+00  1.002873E+00  1.002873E+00
   102 -1.668695E+00 -9.634217E-01  0.000000E+00 -1.003450E+00 -1.003450E+00  1.003450E+00  1.003450E+00
   103 -1.596143E+00 -1.005310E+00  0.000000E+00 -1.003481E+00 -1.003481E+00  1.003481E+00  1.003481E+00
   104 -1.523591E+00 -1.047198E+00  0.000000E+00 -1.002904E+00 -1.002904E+00  1.002904E+00  1.002904E+00
   105 -1.451039E+00 -1.089085E+00  0.000000E+00 -1.001629E+00 -1.001629E+00  1.001629E+00  1.001629E+00
   106 -1.378488E+00 -1.130973E+00  0.000000E+00 -9.995450E-01 -9.995450E-01  9.995450E-01  9.995450E-01
   107 -1.305936E+00 -1.172861E+00  0.000000E+00 -9.965280E-01 -9.965280E-01  9.965280E-01  9.965280E-01
   108 -1.233384E+00 -1.214749E+00  0.000000E+00 -9.924517E-01 -9.924517E-01  9.924517E-01  9.924517E-01
   109 -1.160832E+00 -1.256637E+00  0.000000E+00 -9.871987E-01 -9.871987E-01  9.871987E-01  9.871987E-01
   110 -1.088280E+00 -1.298525E+00  0.000000E+00 -9.806717E-01 -9.806717E-01  9.806717E-01  9.806717E-01
   111 -1.015728E+00 -1.340413E+00  0.000000E+00 -9.728039E-01 -9.728039E-01  9.728039E-01  9.728039E-01
   112 -9.431757E-01 -1.382301E+00  0.000000E+00 -9.635695E-01 -9.635695E-01  9.635695E-01  9.635695E-01
   113 -8.706237E-01 -1.424189E+00  0.000000E+00 -9.529922E-01 -9.529922E-01  9.529922E-01  9.529922E-01
   114 -7.980717E-01 -1.466077E+00  0.000000E+00 -9.411524E-01 -9.411524E-01  9.411524E-01  9.411524E-01
   115 -7.255197E-01 -1.507964E+00  0.000000E+00 -9.281923E-01 -9.281923E-01  9.281923E-01  9.281923E-01
   116 -6.529678E-01 -1.549852E+00  0.000000E+00 -9.143186E-01 -9.143186E-01  9.143186E-01  9.143186E-01
   117 -5.804158E-01 -1.591740E+00  0.000000E+00 -8.998028E-01 -8.998028E-01  8.998028E-01  8.998028E-01
   118 -5.078638E-01 -1.633628E+00  0.000000E+00 -8.849773E-01 -8.849773E-01  8.849773E-01  8.849773E-01
   119 -4.353118E-01 -1.675516E+00  0.000000E+00 -8.702282E-01 -8.702282E-01  8.702282E-01  8.702282E-01
   120 -3.627599E-01 -1.717404E+00  0.000000E+00 -8.559840E-01 -8.559840E-01  8.559840E-01  8.559840E-01
   121 -2.902079E-01 -1.759292E+00  0.000000E+00 -8.426985E-01 -8.426985E-01  8.426985E-01  8.426985E-01
   122 -2.176559E-01 -1.801180E+00  0.000000E+00 -8.308296E-01 -8.308296E-01  8.308296E-01  8.308296E-01
   123 -1.451039E-01 -1.843068E+00  0.000000E+00 -8.208141E-01 -8.208141E-01  8.208141E-01  8.208141E-01
   124 -7.255197E-02 -1.884956E+00  0.000000E+00 -8.130394E-01 -8.130394E-01  8.130394E-01  8.130394E-01
   125  0.000000E+00 -1.926843E+00  0.000000E+00 -8.078160E-01 -8.078160E-01  8.078160E-01  8.078160E-01
   126  7.255197E-02 -1.968731E+00  0.000000E+00 -8.053529E-01 -8.053529E-01  8.053529E-01  8.053529E-01
   127  1.451039E-01 -2.010619E+00  0.000000E+00 -8.057403E-01 -8.057403E-01  8.057403E-01  8.057403E-01
   128  2.176559E-01 -2.052507E+00  0.000000E+00 -8.089420E-01 -8.089420E-01  8.089420E-01  8.089420E-01
   129  2.902079E-01 -2.094395E+00  0.000000E+00 -8.147995E-01 -8.147995E-01  8.147995E-01  8.147995E-01
   130  3.627599E-01  2.052507E+00  0.000000E+00 -8.230454E-01 -8.230454E-01  8.230454E-01  8.230454E-01
   131  4.353118E-01  2.010619E+00  0.000000E+00 -8.333265E-01 -8.333265E-01  8.333265E-01  8.333265E-01
   132  5.078638E-01  1.968731E+00  0.000000E+00 -8.452308E-01 -8.452308E-01  8.452308E-01  8.452308E-01
   133  5.804158E-01  1.926843E+00  0.000000E+00 -8.583160E-01 -8.583160E-01  8.583160E-01  8.583160E-01
   134  6.529678E-01  1.884956E+00  0.000000E+00 -8.721361E-01 -8.721361E-01  8.721361E-01  8.721361E-01
   135  7.255197E-01  1.843068E+00  0.000000E+00 -8.862646E-01 -8.862646E-01  8.862646E-01  8.862646E-01
   136  7.980717E-01  1.801180E+00  0.000000E+00 -9.003127E-01 -9.003127E-01  9.003127E-01  9.003127E-01
   137  8.706237E-01  1.759292E+00  0.000000E+00 -9.139424E-01 -9.139424E-01  9.139424E-01  9.139424E-01
   138  9.431757E-01  1.717404E+00  0.000000E+00 -9.268749E-01 -9.268749E-01  9.268749E-01  9.268749E-01
   139  1.015728E+00  1.675516E+00  0.000000E+00 -9.388948E-01 -9.388948E-01  9.388948E-01  9.388948E-01
   140  1.088280E+00  1.633628E+00  0.000000E+00 -9.498506E-01 -9.498506E-01  9.498506E-01  9.498506E-01
   141  1.160832E+00  1.591740E+00  0.000000E+00 -9.596520E-01 -9.596520E-01  9.596520E-01  9.596520E-01
   142  1.233384E+00  1.549852E+00  0.000000E+00 -9.682649E-01 -9.682649E-01  9.682649E-01  9.682649E-01
   143  1.305936E+00  1.507964E+00  0.000000E+00 -9.757038E-01 -9.757038E-01  9.757038E-01  9.757038E-01
   144  1.378488E+00  1.466077E+00  0.000000E+00 -9.820232E-01 -9.820232E-01  9.820232E-01  9.820232E-01
   145  1.451039E+00  1.424189E+00  0.000000E+00 -9.873067E-01 -9.873067E-01  9.873067E-01  9.873067E-01
   146  1.523591E+00  1.382301E+00  0.000000E+00 -9.916565E-01 -9.916565E-01  9.916565E-01  9.916565E-01
   147  1.596143E+00  1.340413E+00  0.000000E+00 -9.951816E-01 -9.951816E-01  9.951816E-01  9.951816E-01
   148 -1.958903E+00 -7.958701E-01  0.000000E+00 -9.979872E-01 -9.979872E-01  9.979872E-01  9.979872E-01
   149 -1.886351E+00 -8.377580E-01  0.000000E+00 -1.000164E+00 -1.000164E+00  1.000164E+00  1.000164E+00
   150 -1.813799E+00 -7.958701E-01  0.000000E+00 -1.003895E+00 -1.003895E+00  1.003895E+00  1.003895E+00
   151 -1.741247E+00 -8.377580E-01  0.000000E+00 -1.005683E+00 -1.005683E+00  1.005683E+00  1.005683E+00
   152 -1.668695E+00 -8.796459E-01  0.000000E+00 -1.006955E+00 -1.006955E+00  1.006955E+00  1.006955E+00
   153 -1.596143E+00 -9.215338E-01  0.000000E+00 -1.007695E+00 -1.007695E+00  1.007695E+00  1.007695E+00
   154 -1.523591E+00 -9.634217E-01  0.000000E+00 -1.007851E+00 -1.007851E+00  1.007851E+00  1.007851E+00
   155 -1.451039E+00 -1.005310E+00  0.000000E+00 -1.007343E+00 -1.007343E+00  1.007343E+00  1.007343E+00
   156 -1.378488E+00 -1.047198E+00  0.000000E+00 -1.006066E+00 -1.006066E+00  1.006066E+00  1.006066E+00
   157 -1.305936E+00 -1.089085E+00  0.000000E+00 -1.003899E+00 -1.003899E+00  1.003899E+00  1.003899E+00
   158 -1.233384E+00 -1.130973E+00  0.000000E+00 -1.000716E+00 -1.000716E+00  1.000716E+00  1.000716E+00
   159 -1.160832E+00 -1.172861E+00  0.000000E+00 -9.963934E-01 -9.963934E-01  9.963934E-01  9.963934E-01
   160 -1.088280E+00 -1.214749E+00  0.000000E+00 -9.908215E-01 -9.908215E-01  9.908215E-01  9.908215E-01
   161 -1.015728E+00 -1.256637E+00  0.000000E+00 -9.839177E-01 -9.839177E-01  9.839177E-01  9.839177E-01
   162 -9.431757E-01 -1.298525E+00  0.000000E+00 -9.756344E-01 -9.756344E-01  9.756344E-01  9.756344E-01
   163 -8.706237E-01 -1.340413E+00  0.000000E+00 -9.659688E-01 -9.659688E-01  9.659688E-01  9.659688E-01
   164 -7.980717E-01 -1.382301E+00  0.000000E+00 -9.549708E-01 -9.549708E-01  9.549708E-01  9.549708E-01
   165 -7.255197E-01 -1.424189E+00  0.000000E+00 -9.427486E-01 -9.427486E-01  9.427486E-01  9.427486E-01
   166 -6.529678E-01 -1.466077E+00  0.000000E+00 -9.294729E-01 -9.294729E-01  9.294729E-01  9.294729E-01
   167 -5.804158E-01 -1.507964E+00  0.000000E+00 -9.153778E-01 -9.153778E-01  9.153778E-01  9.153778E-01
   168 -5.078638E-01 -1.549852E+00  0.000000E+00 -9.007596E-01 -9.007596E-01  9.007596E-01  9.007596E-01
   169 -4.353118E-01 -1.591740E+00  0.000000E+00 -8.859713E-01 -8.859713E-01  8.859713E-01  8.859713E-01
   170 -3.627599E-01 -1.633628E+00  0.000000E+00 -8.714135E-01 -8.714135E-01  8.714135E-01  8.714135E-01
   171 -2.902079E-01 -1.675516E+00  0.000000E+00 -8.575212E-01 -8.575212E-01  8.575212E-01  8.575212E-01
   172 -2.176559E-01 -1.717404E+00  0.000000E+00 -8.447452E-01 -8.447452E-01  8.447452E-01  8.447452E-01
   173 -1.451039E-01 -1.759292E+00  0.000000E+00 -8.335296E-01 -8.335296E-01  8.335296E-01  8.335296E-01
   174 -7.255197E-02 -1.801180E+00  0.000000E+00 -8.242863E-01 -8.242863E-01  8.242863E-01  8.242863E-01
   175  0.000000E+00 -1.843068E+00  0.000000E+00 -8.173674E-01 -8.173674E-01  8.173674E-01  8.173674E-01
   176  7.255197E-02 -1.884956E+00  0.000000E+00 -8.130394E-01 -8.130394E-01  8.130394E-01  8.130394E-01
   177  1.451039E-01 -1.926843E+00  0.000000E+00 -8.114628E-01 -8.114628E-01  8.114628E-01  8.114628E-01
   178  2.176559E-01 -1.968731E+00  0.000000E+00 -8.126782E-01 -8.126782E-01  8.126782E-01  8.126782E-01
   179  2.902079E-01 -2.010619E+00  0.000000E+00 -8.166045E-01 -8.166045E-01  8.166045E-01  8.166045E-01
   180  3.627599E-01 -2.052507E+00  0.000000E+00 -8.230454E-01 -8.230454E-01  8.230454E-01  8.230454E-01
   181  4.353118E-01 -2.094395E+00  0.000000E+00 -8.317076E-01 -8.317076E-01  8.317076E-01  8.317076E-01
   182  5.078638E-01  2.052507E+00  0.000000E+00 -8.422241E-01 -8.422241E-01  8.422241E-01  8.422241E-01
   183  5.804158E-01  2.010619E+00  0.000000E+00 -8.541816E-01 -8.541816E-01  8.541816E-01  8.541816E-01
   184  6.529678E-01  1.968731E+00  0.000000E+00 -8.671473E-01 -8.671473E-01  8.671473E-01  8.671473E-01
   185  7.255197E-01  1.926843E+00  0.000000E+00 -8.806943E-01 -8.806943E-01  8.806943E-01  8.806943E-01
   186  7.980717E-01  1.884956E+00  0.000000E+00 -8.944216E-01 -8.944216E-01  8.944216E-01  8.944216E-01
   187  8.706237E-01  1.843068E+00  0.000000E+00 -9.079705E-01 -9.079705E-01  9.079705E-01  9.079705E-01
   188  9.431757E-01  1.801180E+00  0.000000E+00 -9.210351E-01 -9.210351E-01  9.210351E-01  9.210351E-01
   189  1.015728E+00  1.759292E+00  0.000000E+00 -9.333693E-01 -9.333693E-01  9.333693E-01  9.333693E-01
   190  1.088280E+00  1.717404E+00  0.000000E+00 -9.447891E-01 -9.447891E-01  9.447891E-01  9.447891E-01
   191  1.160832E+00  1.675516E+00  0.000000E+00 -9.551717E-01 -9.551717E-01  9.551717E-01  9.551717E-01
   192  1.233384E+00  1.633628E+00  0.000000E+00 -9.644519E-01 -9.644519E-01  9.644519E-01  9.644519E-01
   193  1.305936E+00  1.591740E+00  0.000000E+00 -9.726160E-01 -9.726160E-01  9.726160E-01  9.726160E-01
   194  1.378488E+00  1.549852E+00  0.000000E+00 -9.796934E-01 -9.796934E-01  9.796934E-01  9.796934E-01
   195  1.451039E+00  1.507964E+00  0.000000E+00 -9.857475E-01 -9.857475E-01  9.857475E-01  9.857475E-01
   196  1.523591E+00  1.466077E+00  0.000000E+00 -9.908648E-01 -9.908648E-01  9.908648E-01  9.908648E-01
   197 -2.031455E+00 -6.702064E-01  0.000000E+00 -9.951440E-01 -9.951440E-01  9.951440E-01  9.951440E-01
   198 -1.958903E+00 -7.120943E-01  0.000000E+00 -9.986850E-01 -9.986850E-01  9.986850E-01  9.986850E-01
   199 -1.886351E+00 -7.539822E-01  0.000000E+00 -1.001578E+00 -1.001578E+00  1.001578E+00  1.001578E+00
   200 -1.813799E+00 -7.120943E-01  0.000000E+00 -1.006662E+00 -1.006662E+00  1.006662E+00  1.006662E+00
   201 -1.741247E+00 -7.539822E-01  0.000000E+00 -1.009164E+00 -1.009164E+00  1.009164E+00  1.009164E+00
   202 -1.668695E+00 -7.958701E-01  0.000000E+00 -1.011151E+00 -1.011151E+00  1.011151E+00  1.011151E+00
   203 -1.596143E+00 -8.377580E-01  0.000000E+00 -1.012615E+00 -1.012615E+00  1.012615E+00  1.012615E+00
   204 -1.523591E+00 -8.796459E-01  0.000000E+00 -1.013515E+00 -1.013515E+00  1.013515E+00  1.013515E+00
   205 -1.451039E+00 -9.215338E-01  0.000000E+00 -1.013781E+00 -1.013781E+00  1.013781E+00  1.013781E+00
   206 -1.378488E+00 -9.634217E-01  0.000000E+00 -1.013317E+00 -1.013317E+00  1.013317E+00  1.013317E+00
   207 -1.305936E+00 -1.005310E+00  0.000000E+00 -1.012007E+00 -1.012007E+00  1.012007E+00  1.012007E+00
   208 -1.233384E+00 -1.047198E+00  0.000000E+00 -1.009727E+00 -1.009727E+00  1.009727E+00  1.009727E+00
   209 -1.160832E+00 -1.089085E+00  0.000000E+00 -1.006350E+00 -1.006350E+00  1.006350E+00  1.006350E+00
   210 -1.088280E+00 -1.130973E+00  0.000000E+00 -1.001760E+00 -1.001760E+00  1.001760E+00  1.001760E+00
   211 -1.015728E+00 -1.172861E+00  0.000000E+00 -9.958614E-01 -9.958614E-01  9.958614E-01  9.958614E-01
   212 -9.431757E-01 -1.214749E+00  0.000000E+00 -9.885879E-01 -9.885879E-01  9.885879E-01  9.885879E-01
   213 -8.706237E-01 -1.256637E+00  0.000000E+00 -9.799140E-01 -9.799140E-01  9.799140E-01  9.799140E-01
