#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_73019_diag.x_20260323224243_amedhi@isha-2.local
# Lattice: HONEYCOMB3 (Size = 1x1x1, Sites/unitcell = 198, Boundary = 0-0-0)
# No of sites = 198
# Model: MKM
# lambda = 0.060000
# eta = 0.100000
# lambda_R = 0.000000
# t = 1.000000
# Results: WaveFunction
#------------------------------------------------------------------------
# wf_0:   psi(0,98,0)         cols: (6,7)
# wf_1:   psi(0,99,0)         cols: (8,9)
#------------------------------------------------------------------------
# basis   label   xcoord        ycoord        zcoord        Re[wf_1]      Im[wf_1]      Re[wf_2]      Im[wf_2]      
#------------------------------------------------------------------------
      14    14-0  6.062178E+00 -1.050000E+01  0.000000E+00 -2.269508E-03 -3.901135E-03  2.280051E-03 -3.873034E-03
      15    15-0  6.062178E+00 -9.500000E+00  0.000000E+00  8.138484E-03 -4.734610E-03  8.079861E-03  4.756605E-03
      16    16-0  6.928203E+00 -1.200000E+01  0.000000E+00  2.326949E-02  3.999874E-02 -2.337759E-02  3.971062E-02
      17    17-0  6.928203E+00 -1.100000E+01  0.000000E+00 -5.778560E-02  3.361711E-02 -5.736936E-02 -3.377327E-02
      18    18-0  7.794229E+00 -1.250000E+01  0.000000E+00  6.041959E-01 -3.514945E-01  5.998438E-01  3.531273E-01
      19    19-0  8.660254E-01  1.500000E+00  0.000000E+00 -4.846894E-08  2.750488E-08  4.886237E-08  2.730676E-08
      20    20-0  8.660254E-01  2.500000E+00  0.000000E+00 -1.413753E-08 -2.914713E-08 -1.403569E-08  2.938008E-08
      21    21-0  1.732051E+00  0.000000E+00  0.000000E+00  1.727805E-08 -4.073619E-09 -1.740960E-08 -4.044276E-09
      22    22-0  1.732051E+00  1.000000E+00  0.000000E+00 -1.207706E-08  1.309475E-08 -1.199006E-08 -1.317142E-08
      23    23-0  2.598076E+00 -1.500000E+00  0.000000E+00 -2.039429E-08 -2.491609E-08  2.050442E-08 -2.473662E-08
      24    24-0  2.598076E+00 -5.000000E-01  0.000000E+00  9.691591E-08 -5.788933E-08  9.621780E-08  5.816219E-08
      25    25-0  3.464102E+00 -3.000000E+00  0.000000E+00  9.384506E-08  1.587999E-07 -9.428484E-08  1.576560E-07
      26    26-0  3.464102E+00 -2.000000E+00  0.000000E+00 -6.445789E-07  3.752447E-07 -6.399358E-07 -3.769886E-07
      27    27-0  4.330127E+00 -4.500000E+00  0.000000E+00 -5.103454E-07 -8.766660E-07  5.127171E-07 -8.703512E-07
      28    28-0  4.330127E+00 -3.500000E+00  0.000000E+00  4.235436E-06 -2.464034E-06  4.204927E-06  2.475481E-06
      29    29-0  5.196152E+00 -6.000000E+00  0.000000E+00  2.323721E-06  3.994198E-06 -2.334516E-06  3.965427E-06
      30    30-0  5.196152E+00 -5.000000E+00  0.000000E+00 -2.779938E-05  1.617246E-05 -2.759914E-05 -1.624759E-05
      31    31-0  6.062178E+00 -7.500000E+00  0.000000E+00 -9.627627E-06 -1.654923E-05  9.672352E-06 -1.643002E-05
      32    32-0  6.062178E+00 -6.500000E+00  0.000000E+00  1.774639E-04 -1.032407E-04  1.761856E-04  1.037203E-04
      33    33-0  6.928203E+00 -9.000000E+00  0.000000E+00 -5.588171E-05 -9.605701E-05  5.614131E-05 -9.536508E-05
      34    34-0  6.928203E+00 -8.000000E+00  0.000000E+00 -1.180381E-03  6.866932E-04 -1.171878E-03 -6.898833E-04
      35    35-0  7.794229E+00 -1.050000E+01  0.000000E+00 -4.467354E-13  2.634512E-13  4.504691E-13  2.616453E-13
      36    36-0  7.794229E+00 -9.500000E+00  0.000000E+00  6.300663E-03 -3.665447E-03  6.255277E-03  3.682474E-03
      37    37-0  8.660254E+00 -1.200000E+01  0.000000E+00 -2.326949E-02 -3.999874E-02  2.337759E-02 -3.971062E-02
      38    38-0  8.660254E+00 -1.100000E+01  0.000000E+00 -5.778560E-02  3.361711E-02 -5.736936E-02 -3.377327E-02
      39    39-0  1.732051E+00  3.000000E+00  0.000000E+00  3.450563E-07 -2.032048E-07 -3.478684E-07 -2.017410E-07
      40    40-0  1.732051E+00  4.000000E+00  0.000000E+00  1.156481E-07  1.977088E-07  1.148151E-07 -1.993189E-07
      41    41-0  2.598076E+00  1.500000E+00  0.000000E+00 -9.749003E-08  5.597241E-08  9.828235E-08  5.556922E-08
      42    42-0  2.598076E+00  2.500000E+00  0.000000E+00 -1.167087E-08 -2.987094E-08 -1.158680E-08  3.010538E-08
      43    43-0  3.464102E+00  0.000000E+00  0.000000E+00  3.180388E-08 -9.816911E-09 -3.204954E-08 -9.746197E-09
      44    44-0  3.464102E+00  1.000000E+00  0.000000E+00 -2.425264E-08  2.297928E-08 -2.407794E-08 -2.310918E-08
      45    45-0  4.330127E+00 -1.500000E+00  0.000000E+00 -2.860263E-08 -3.391399E-08  2.875866E-08 -3.366970E-08
      46    46-0  4.330127E+00 -5.000000E-01  0.000000E+00  1.770356E-07 -1.043319E-07  1.757604E-07  1.048200E-07
      47    47-0  5.196152E+00 -3.000000E+00  0.000000E+00  1.223659E-07  2.069264E-07 -1.229395E-07  2.054359E-07
      48    48-0  5.196152E+00 -2.000000E+00  0.000000E+00 -1.107693E-06  6.446183E-07 -1.099714E-06 -6.476134E-07
      49    49-0  6.062178E+00 -4.500000E+00  0.000000E+00 -5.834780E-07 -1.002244E-06  5.861897E-07 -9.950249E-07
      50    50-0  6.062178E+00 -3.500000E+00  0.000000E+00  6.841716E-06 -3.980234E-06  6.792433E-06  3.998724E-06
      51    51-0  6.928203E+00 -6.000000E+00  0.000000E+00  2.885195E-06  4.959316E-06 -2.898598E-06  4.923593E-06
      52    52-0  6.928203E+00 -5.000000E+00  0.000000E+00 -4.065827E-05  2.365318E-05 -4.036540E-05 -2.376306E-05
      53    53-0  7.794229E+00 -7.500000E+00  0.000000E+00 -1.220927E-11  7.199884E-12  1.230838E-11  7.148065E-12
      54    54-0  7.794229E+00 -6.500000E+00  0.000000E+00  2.450219E-04 -1.425429E-04  2.432570E-04  1.432051E-04
      55    55-0  8.660254E+00 -9.000000E+00  0.000000E+00  5.588172E-05  9.605700E-05 -5.614131E-05  9.536508E-05
      56    56-0  8.660254E+00 -8.000000E+00  0.000000E+00 -1.180381E-03  6.866932E-04 -1.171878E-03 -6.898833E-04
      57    57-0  9.526279E+00 -1.050000E+01  0.000000E+00  2.269508E-03  3.901135E-03 -2.280051E-03  3.873034E-03
      58    58-0  9.526279E+00 -9.500000E+00  0.000000E+00  8.138484E-03 -4.734610E-03  8.079861E-03  4.756605E-03
      59    59-0  2.598076E+00  4.500000E+00  0.000000E+00 -2.507889E-06  1.478899E-06  2.528330E-06  1.468246E-06
      60    60-0  2.598076E+00  5.500000E+00  0.000000E+00 -8.321706E-07 -1.411538E-06 -8.261762E-07  1.423043E-06
      61    61-0  3.464102E+00  3.000000E+00  0.000000E+00  6.398740E-07 -3.770883E-07 -6.450892E-07 -3.743720E-07
      62    62-0  3.464102E+00  4.000000E+00  0.000000E+00  9.221014E-08  1.588610E-07  9.154592E-08 -1.601536E-07
      63    63-0  4.330127E+00  1.500000E+00  0.000000E+00 -1.768509E-07  1.029421E-07  1.782903E-07  1.022005E-07
      64    64-0  4.330127E+00  2.500000E+00  0.000000E+00 -1.546946E-08 -4.139379E-08 -1.535803E-08  4.171761E-08
      65    65-0  5.196152E+00  0.000000E+00  0.000000E+00  4.232817E-08 -1.847704E-08 -4.266334E-08 -1.834394E-08
      66    66-0  5.196152E+00  1.000000E+00  0.000000E+00 -3.699822E-08  2.795913E-08 -3.673171E-08 -2.810581E-08
      67    67-0  6.062178E+00 -1.500000E+00  0.000000E+00 -2.044189E-08 -1.558946E-08  2.056654E-08 -1.547717E-08
      68    68-0  6.062178E+00 -5.000000E-01  0.000000E+00  2.334457E-07 -1.366929E-07  2.317642E-07  1.373302E-07
      69    69-0  6.928203E+00 -3.000000E+00  0.000000E+00  3.206590E-08  5.117994E-08 -3.222084E-08  5.081128E-08
      70    70-0  6.928203E+00 -2.000000E+00  0.000000E+00 -1.348157E-06  7.843745E-07 -1.338446E-06 -7.880185E-07
      71    71-0  7.794229E+00 -4.500000E+00  0.000000E+00 -3.318815E-10  1.957177E-10  3.345867E-10  1.943080E-10
      72    72-0  7.794229E+00 -3.500000E+00  0.000000E+00  7.409978E-06 -4.310797E-06  7.356602E-06  4.330823E-06
      73    73-0  8.660254E+00 -6.000000E+00  0.000000E+00 -2.885069E-06 -4.959390E-06  2.898472E-06 -4.923666E-06
      74    74-0  8.660254E+00 -5.000000E+00  0.000000E+00 -4.065827E-05  2.365318E-05 -4.036540E-05 -2.376306E-05
      75    75-0  9.526279E+00 -7.500000E+00  0.000000E+00  9.627604E-06  1.654925E-05 -9.672329E-06  1.643004E-05
      76    76-0  9.526279E+00 -6.500000E+00  0.000000E+00  1.774639E-04 -1.032407E-04  1.761856E-04  1.037203E-04
      77    77-0  1.039230E+01 -9.000000E+00  0.000000E+00 -3.319539E-04 -5.706070E-04  3.334960E-04 -5.664968E-04
      78    78-0  1.039230E+01 -8.000000E+00  0.000000E+00 -1.038649E-03  6.042400E-04 -1.031167E-03 -6.070470E-04
      79    79-0  3.464102E+00  6.000000E+00  0.000000E+00  1.843345E-05 -1.087059E-05 -1.858370E-05 -1.079229E-05
      80    80-0  3.464102E+00  7.000000E+00  0.000000E+00  6.041240E-06  1.024432E-05  5.997724E-06 -1.032782E-05
      81    81-0  4.330127E+00  4.500000E+00  0.000000E+00 -4.203085E-06  2.478605E-06  4.237344E-06  2.460751E-06
      82    82-0  4.330127E+00  5.500000E+00  0.000000E+00 -5.128676E-07 -8.702584E-07 -5.091733E-07  8.773514E-07
      83    83-0  5.196152E+00  3.000000E+00  0.000000E+00  1.099407E-06 -6.481309E-07 -1.108368E-06 -6.434622E-07
      84    84-0  5.196152E+00  4.000000E+00  0.000000E+00  1.201164E-07  2.070756E-07  1.192512E-07 -2.087604E-07
      85    85-0  6.062178E+00  1.500000E+00  0.000000E+00 -2.324320E-07  1.361788E-07  2.343252E-07  1.351979E-07
      86    86-0  6.062178E+00  2.500000E+00  0.000000E+00 -3.512546E-09 -2.538964E-08 -3.487244E-09  2.557919E-08
      87    87-0  6.928203E+00  0.000000E+00  0.000000E+00  4.866103E-08 -2.575424E-08 -4.905320E-08 -2.556872E-08
      88    88-0  6.928203E+00  1.000000E+00  0.000000E+00 -4.646977E-08  2.995378E-08 -4.613504E-08 -3.010055E-08
      89    89-0  7.794229E+00 -1.500000E+00  0.000000E+00 -9.130613E-09  5.384519E-09  9.205036E-09  5.345734E-09
      90    90-0  7.794229E+00 -5.000000E-01  0.000000E+00  2.606430E-07 -1.516306E-07  2.587655E-07  1.523350E-07
      91    91-0  8.660254E+00 -3.000000E+00  0.000000E+00 -2.865332E-08 -5.319241E-08  2.878045E-08 -5.280925E-08
      92    92-0  8.660254E+00 -2.000000E+00  0.000000E+00 -1.348224E-06  7.842611E-07 -1.338513E-06 -7.879041E-07
      93    93-0  9.526279E+00 -4.500000E+00  0.000000E+00  5.828576E-07  1.002610E-06 -5.855642E-07  9.953881E-07
      94    94-0  9.526279E+00 -3.500000E+00  0.000000E+00  6.841739E-06 -3.980195E-06  6.792456E-06  3.998684E-06
      95    95-0  1.039230E+01 -6.000000E+00  0.000000E+00 -2.323611E-06 -3.994263E-06  2.334405E-06 -3.965491E-06
      96    96-0  1.039230E+01 -5.000000E+00  0.000000E+00 -2.779939E-05  1.617245E-05 -2.759914E-05 -1.624758E-05
      97    97-0  1.125833E+01 -7.500000E+00  0.000000E+00  4.360372E-05  7.495196E-05 -4.380628E-05  7.441206E-05
      98    98-0  1.125833E+01 -6.500000E+00  0.000000E+00  1.387145E-04 -8.069797E-05  1.377153E-04  8.107285E-05
      99    99-0  4.330127E+00  7.500000E+00  0.000000E+00 -1.376537E-04  8.117738E-05  1.387758E-04  8.059264E-05
     100   100-0  4.330127E+00  8.500000E+00  0.000000E+00 -4.386276E-05 -7.437878E-05 -4.354681E-05  7.498504E-05
     101   101-0  5.196152E+00  6.000000E+00  0.000000E+00  2.758680E-05 -1.626852E-05 -2.781166E-05 -1.615134E-05
     102   102-0  5.196152E+00  7.000000E+00  0.000000E+00  2.337415E-06  3.963718E-06  2.320578E-06 -3.996026E-06
     103   103-0  6.062178E+00  4.500000E+00  0.000000E+00 -6.789418E-06  4.003840E-06  6.844758E-06  3.974999E-06
     104   104-0  6.062178E+00  5.500000E+00  0.000000E+00 -5.863197E-07 -9.949433E-07 -5.820963E-07  1.003052E-06
     105   105-0  6.928203E+00  3.000000E+00  0.000000E+00  1.337914E-06 -7.889201E-07 -1.348819E-06 -7.832373E-07
     106   106-0  6.928203E+00  4.000000E+00  0.000000E+00  2.882053E-08  5.278739E-08  2.861293E-08 -5.321415E-08
     107   107-0  7.794229E+00  1.500000E+00  0.000000E+00 -2.586498E-07  1.525314E-07  2.607580E-07  1.514326E-07
     108   108-0  7.794229E+00  2.500000E+00  0.000000E+00  9.200975E-09 -5.352720E-09  9.134698E-09  5.377586E-09
     109   109-0  8.660254E+00  0.000000E+00  0.000000E+00  4.611217E-08 -3.013556E-08 -4.649250E-08 -2.991849E-08
     110   110-0  8.660254E+00  1.000000E+00  0.000000E+00 -4.903377E-08  2.560596E-08 -4.868057E-08 -2.571729E-08
     111   111-0  9.526279E+00 -1.500000E+00  0.000000E+00  3.506662E-09  2.557653E-08 -3.493270E-09  2.539230E-08
     112   112-0  9.526279E+00 -5.000000E-01  0.000000E+00  2.342225E-07 -1.353757E-07  2.325353E-07  1.360023E-07
     113   113-0  1.039230E+01 -3.000000E+00  0.000000E+00 -1.194096E-07 -2.086698E-07  1.199592E-07 -2.071667E-07
     114   114-0  1.039230E+01 -2.000000E+00  0.000000E+00 -1.107879E-06  6.443035E-07 -1.099899E-06 -6.472960E-07
     115   115-0  1.125833E+01 -4.500000E+00  0.000000E+00  5.098393E-07  8.769645E-07 -5.122068E-07  8.706476E-07
     116   116-0  1.125833E+01 -3.500000E+00  0.000000E+00  4.235475E-06 -2.463967E-06  4.204966E-06  2.475414E-06
     117   117-0  1.212436E+01 -6.000000E+00  0.000000E+00 -6.005563E-06 -1.032327E-05  6.033461E-06 -1.024891E-05
     118   118-0  1.212436E+01 -5.000000E+00  0.000000E+00 -1.857550E-05  1.080639E-05 -1.844170E-05 -1.085659E-05
     119   119-0  5.196152E+00  9.000000E+00  0.000000E+00  1.030706E-03 -6.078296E-04 -1.039107E-03 -6.034513E-04
     120   120-0  5.196152E+00  1.000000E+01  0.000000E+00  3.339260E-04  5.662434E-04  3.315206E-04 -5.708588E-04
     121   121-0  6.062178E+00  7.500000E+00  0.000000E+00 -1.761068E-04  1.038540E-04  1.775422E-04  1.031059E-04
     122   122-0  6.062178E+00  8.500000E+00  0.000000E+00 -9.684799E-06 -1.642269E-05 -9.615037E-06  1.655655E-05
     123   123-0  6.928203E+00  6.000000E+00  0.000000E+00  4.034735E-05 -2.379370E-05 -4.067622E-05 -2.362231E-05
     124   124-0  6.928203E+00  7.000000E+00  0.000000E+00  2.902209E-06  4.921464E-06  2.881304E-06 -4.961579E-06
     125   125-0  7.794229E+00  4.500000E+00  0.000000E+00 -7.353312E-06  4.336407E-06  7.413249E-06  4.305171E-06
     126   126-0  7.794229E+00  5.500000E+00  0.000000E+00  3.344392E-10 -1.945618E-10  3.320301E-10  1.954657E-10
     127   127-0  8.660254E+00  3.000000E+00  0.000000E+00  1.337848E-06 -7.890344E-07 -1.348753E-06 -7.833508E-07
     128   128-0  8.660254E+00  4.000000E+00  0.000000E+00 -3.225940E-08 -5.078681E-08 -3.202703E-08  5.120427E-08
     129   129-0  9.526279E+00  1.500000E+00  0.000000E+00 -2.316598E-07  1.375062E-07  2.335494E-07  1.365157E-07
     130   130-0  9.526279E+00  2.500000E+00  0.000000E+00  2.057828E-08  1.546155E-08  2.043005E-08 -1.560498E-08
     131   131-0  1.039230E+01  0.000000E+00  0.000000E+00  3.671036E-08 -2.813369E-08 -3.701943E-08 -2.793104E-08
     132   132-0  1.039230E+01  1.000000E+00  0.000000E+00 -4.264940E-08  1.837633E-08 -4.234219E-08 -1.844490E-08
     133   133-0  1.125833E+01 -1.500000E+00  0.000000E+00  1.538970E-08  4.170594E-08 -1.543803E-08  4.140552E-08
     134   134-0  1.125833E+01 -5.000000E-01  0.000000E+00  1.782127E-07 -1.023359E-07  1.769290E-07  1.028078E-07
     135   135-0  1.212436E+01 -3.000000E+00  0.000000E+00 -9.166748E-08 -1.600840E-07  9.208950E-08 -1.589309E-07
     136   136-0  1.212436E+01 -2.000000E+00  0.000000E+00 -6.448048E-07  3.748617E-07 -6.401601E-07 -3.766024E-07
     137   137-0  1.299038E+01 -4.500000E+00  0.000000E+00  8.272564E-07  1.422415E-06 -8.310987E-07  1.412169E-06
     138   138-0  1.299038E+01 -3.500000E+00  0.000000E+00  2.527215E-06 -1.470165E-06  2.509011E-06  1.476995E-06
     139   139-0  6.062178E+00  1.050000E+01  0.000000E+00 -8.076247E-03  4.762737E-03  8.142077E-03  4.728430E-03
     140   140-0  6.062178E+00  1.150000E+01  0.000000E+00 -2.282990E-03 -3.871302E-03 -2.266545E-03  3.902857E-03
     141   141-0  6.928203E+00  9.000000E+00  0.000000E+00  1.171354E-03 -6.907727E-04 -1.180902E-03 -6.857969E-04
     142   142-0  6.928203E+00  1.000000E+01  0.000000E+00 -5.621370E-05 -9.532243E-05 -5.580878E-05  9.609940E-05
     143   143-0  7.794229E+00  7.500000E+00  0.000000E+00 -2.431482E-04  1.433897E-04  2.451301E-04  1.423569E-04
     144   144-0  7.794229E+00  8.500000E+00  0.000000E+00  1.230327E-11 -7.157396E-12  1.221468E-11  7.190667E-12
     145   145-0  8.660254E+00  6.000000E+00  0.000000E+00  4.034735E-05 -2.379370E-05 -4.067621E-05 -2.362231E-05
     146   146-0  8.660254E+00  7.000000E+00  0.000000E+00 -2.902335E-06 -4.921391E-06 -2.881429E-06  4.961505E-06
     147   147-0  9.526279E+00  4.500000E+00  0.000000E+00 -6.789395E-06  4.003879E-06  6.844735E-06  3.975038E-06
     148   148-0  9.526279E+00  5.500000E+00  0.000000E+00  5.869449E-07  9.945796E-07  5.827170E-07 -1.002687E-06
     149   149-0  1.039230E+01  3.000000E+00  0.000000E+00  1.099222E-06 -6.484481E-07 -1.108182E-06 -6.437772E-07
     150   150-0  1.039230E+01  4.000000E+00  0.000000E+00 -1.230955E-07 -2.053425E-07 -1.222088E-07  2.070193E-07
     151   151-0  1.125833E+01  1.500000E+00  0.000000E+00 -1.756807E-07  1.049534E-07  1.771148E-07  1.041974E-07
     152   152-0  1.125833E+01  2.500000E+00  0.000000E+00  2.878421E-08  3.364785E-08  2.857687E-08 -3.393569E-08
     153   153-0  1.212436E+01  0.000000E+00  0.000000E+00  2.406039E-08 -2.312745E-08 -2.427008E-08 -2.296086E-08
     154   154-0  1.212436E+01  1.000000E+00  0.000000E+00 -3.204213E-08  9.770526E-09 -3.181132E-08 -9.792763E-09
     155   155-0  1.299038E+01 -1.500000E+00  0.000000E+00  1.160965E-08  3.009658E-08 -1.164819E-08  2.987979E-08
     156   156-0  1.299038E+01 -5.000000E-01  0.000000E+00  9.824014E-08 -5.564382E-08  9.753249E-08  5.589838E-08
     157   157-0  1.385641E+01 -3.000000E+00  0.000000E+00 -1.149664E-07 -1.992317E-07  1.154980E-07 -1.977966E-07
     158   158-0  1.385641E+01 -2.000000E+00  0.000000E+00 -3.477151E-07  2.020051E-07 -3.452104E-07 -2.029427E-07
     159   159-0  6.928203E+00  1.200000E+01  0.000000E+00  5.734370E-02 -3.381682E-02 -5.781111E-02 -3.357323E-02
     160   160-0  6.928203E+00  1.300000E+01  0.000000E+00  2.340773E-02  3.969286E-02  2.323912E-02 -4.001639E-02
     161   161-0  7.794229E+00  1.050000E+01  0.000000E+00 -6.252480E-03  3.687222E-03  6.303443E-03  3.660662E-03
     162   162-0  7.794229E+00  1.150000E+01  0.000000E+00  4.502742E-13 -2.619829E-13  4.470942E-13  2.631157E-13
     163   163-0  8.660254E+00  9.000000E+00  0.000000E+00  1.171354E-03 -6.907727E-04 -1.180902E-03 -6.857969E-04
     164   164-0  8.660254E+00  1.000000E+01  0.000000E+00  5.621369E-05  9.532244E-05  5.580877E-05 -9.609940E-05
     165   165-0  9.526279E+00  7.500000E+00  0.000000E+00 -1.761068E-04  1.038540E-04  1.775422E-04  1.031059E-04
     166   166-0  9.526279E+00  8.500000E+00  0.000000E+00  9.684822E-06  1.642268E-05  9.615060E-06 -1.655654E-05
     167   167-0  1.039230E+01  6.000000E+00  0.000000E+00  2.758679E-05 -1.626853E-05 -2.781165E-05 -1.615135E-05
     168   168-0  1.039230E+01  7.000000E+00  0.000000E+00 -2.337526E-06 -3.963653E-06 -2.320688E-06  3.995961E-06
     169   169-0  1.125833E+01  4.500000E+00  0.000000E+00 -4.203047E-06  2.478672E-06  4.237305E-06  2.460818E-06
     170   170-0  1.125833E+01  5.500000E+00  0.000000E+00  5.133777E-07  8.699617E-07  5.096797E-07 -8.770532E-07
     171   171-0  1.212436E+01  3.000000E+00  0.000000E+00  6.396495E-07 -3.774743E-07 -6.448636E-07 -3.747553E-07
     172   172-0  1.212436E+01  4.000000E+00  0.000000E+00 -9.440450E-08 -1.575844E-07 -9.372448E-08  1.588711E-07
     173   173-0  1.299038E+01  1.500000E+00  0.000000E+00 -9.617362E-08  5.823522E-08  9.695983E-08  5.781574E-08
     174   174-0  1.299038E+01  2.500000E+00  0.000000E+00  2.052320E-08  2.472104E-08  2.037536E-08 -2.493157E-08
     175   175-0  1.385641E+01  0.000000E+00  0.000000E+00  1.198006E-08 -1.318052E-08 -1.208699E-08 -1.308558E-08
     176   176-0  1.385641E+01  1.000000E+00  0.000000E+00 -1.740652E-08  4.057492E-09 -1.728114E-08 -4.060501E-09
     177   177-0  1.472243E+01 -1.500000E+00  0.000000E+00  1.405800E-08  2.936941E-08 -1.411540E-08  2.915786E-08
     178   178-0  1.472243E+01 -5.000000E-01  0.000000E+00  4.884163E-08 -2.734384E-08  4.848981E-08  2.746808E-08
     179   179-0  7.794229E+00  1.350000E+01  0.000000E+00 -5.995755E-01  3.535826E-01  6.044626E-01  3.510357E-01
     180   180-0  8.660254E+00  1.200000E+01  0.000000E+00  5.734370E-02 -3.381682E-02 -5.781111E-02 -3.357323E-02
     181   181-0  8.660254E+00  1.300000E+01  0.000000E+00 -2.340773E-02 -3.969286E-02 -2.323912E-02  4.001639E-02
     182   182-0  9.526279E+00  1.050000E+01  0.000000E+00 -8.076247E-03  4.762737E-03  8.142077E-03  4.728430E-03
     183   183-0  9.526279E+00  1.150000E+01  0.000000E+00  2.282990E-03  3.871302E-03  2.266545E-03 -3.902857E-03
     184   184-0  1.039230E+01  9.000000E+00  0.000000E+00  1.030706E-03 -6.078296E-04 -1.039107E-03 -6.034513E-04
     185   185-0  1.039230E+01  1.000000E+01  0.000000E+00 -3.339260E-04 -5.662434E-04 -3.315206E-04  5.708588E-04
     186   186-0  1.125833E+01  7.500000E+00  0.000000E+00 -1.376537E-04  8.117738E-05  1.387758E-04  8.059264E-05
     187   187-0  1.125833E+01  8.500000E+00  0.000000E+00  4.386278E-05  7.437877E-05  4.354682E-05 -7.498503E-05
     188   188-0  1.212436E+01  6.000000E+00  0.000000E+00  1.843344E-05 -1.087061E-05 -1.858369E-05 -1.079230E-05
     189   189-0  1.212436E+01  7.000000E+00  0.000000E+00 -6.041327E-06 -1.024427E-05 -5.997810E-06  1.032777E-05
     190   190-0  1.299038E+01  4.500000E+00  0.000000E+00 -2.507840E-06  1.478984E-06  2.528281E-06  1.468331E-06
     191   191-0  1.299038E+01  5.500000E+00  0.000000E+00  8.325337E-07  1.411327E-06  8.265368E-07 -1.422831E-06
     192   192-0  1.385641E+01  3.000000E+00  0.000000E+00  3.448117E-07 -2.036252E-07 -3.476226E-07 -2.021585E-07
     193   193-0  1.385641E+01  4.000000E+00  0.000000E+00 -1.170554E-07 -1.968902E-07 -1.162122E-07  1.984964E-07
     194   194-0  1.472243E+01  1.500000E+00  0.000000E+00 -4.753481E-08  2.911060E-08  4.792390E-08  2.890091E-08
     195   195-0  1.472243E+01  2.500000E+00  0.000000E+00  1.868108E-08  2.650390E-08  1.854652E-08 -2.672456E-08
     196   196-0  1.558846E+01  0.000000E+00  0.000000E+00  4.459634E-09 -8.006814E-09 -4.504149E-09 -7.949139E-09
     197   197-0  1.558846E+01  1.000000E+00  0.000000E+00 -9.183795E-09  6.972166E-12 -9.117642E-09  6.921944E-12

